1732197852.0917358,-49,1.0
1732197852.2004452,-49,1.0
1732197852.3087058,-55,1.9952623149688795
1732197852.4198022,-55,1.9952623149688795
1732197852.5310001,-55,1.9952623149688795
1732197852.636717,-55,1.9952623149688795
1732197852.8547497,-55,1.9952623149688795
1732197852.9655383,-55,1.9952623149688795
1732197853.0752132,-55,1.9952623149688795
1732197853.1845846,-55,1.9952623149688795
1732197853.291425,-55,1.9952623149688795
1732197853.402138,-55,1.9952623149688795
1732197853.6209316,-55,1.9952623149688795
1732197853.7289684,-55,1.9952623149688795
1732197853.8386705,-55,1.9952623149688795
1732197853.948378,-55,1.9952623149688795
1732197854.0581636,-55,1.9952623149688795
