distance,mean,CI
1,1.0643550000000026,0.01316577311974335
2,2.0004010000000085,0.04384477460796677
3,1.895410000000004,0.040759892731198726
4,4.606198499999977,0.035682921500589306
5,8.399145000000006,0.13705283950689515
6,8.402233000000017,0.10623058742868008
7,9.660208000000015,0.16958757934471874
8,12.240072499999958,0.1322770969575375
